time,temperature
2019-03-07 19:45:00,68.18
2019-03-07 20:00:00,67.48
2019-03-07 20:15:00,67.51
2019-03-07 20:30:00,67.38
2019-03-07 20:45:00,67.17
2019-03-07 21:00:00,66.93
2019-03-07 21:15:00,66.25
2019-03-07 21:30:00,65.71
2019-03-07 21:45:00,65.25
2019-03-07 22:00:00,64.80
2019-03-07 22:15:00,65.05
2019-03-07 22:30:00,64.84
2019-03-07 22:45:00,64.66
2019-03-07 23:00:00,64.72
2019-03-07 23:15:00,64.63
2019-03-07 23:30:00,64.44
2019-03-07 23:45:00,64.50
2019-03-08 00:00:00,64.58
2019-03-08 00:15:00,64.50
2019-03-08 00:30:00,64.40
2019-03-08 00:45:00,64.38
2019-03-08 01:00:00,64.24
2019-03-08 01:15:00,64.39
2019-03-08 01:30:00,64.27
2019-03-08 01:45:00,64.09
2019-03-08 02:00:00,64.05
2019-03-08 02:15:00,64.09
2019-03-08 02:30:00,64.08
2019-03-08 02:45:00,64.03
2019-03-08 03:00:00,64.09
2019-03-08 03:15:00,63.92
2019-03-08 03:30:00,63.88
2019-03-08 03:45:00,64.42
2019-03-08 04:00:00,65.08
2019-03-08 04:15:00,65.34
2019-03-08 04:30:00,65.30
2019-03-08 04:45:00,65.54
2019-03-08 05:00:00,65.54
2019-03-08 05:15:00,66.33
2019-03-08 05:30:00,68.41
2019-03-08 05:45:00,68.71
2019-03-08 06:00:00,69.16
2019-03-08 06:15:00,70.42
2019-03-08 06:30:00,69.91
2019-03-08 06:45:00,70.42
2019-03-08 07:00:00,70.30
2019-03-08 07:15:00,70.64
2019-03-08 07:30:00,70.81
2019-03-08 07:45:00,70.95
2019-03-08 08:00:00,71.24
2019-03-08 08:15:00,71.20
2019-03-08 08:30:00,71.12
2019-03-08 08:45:00,71.79
2019-03-08 09:00:00,71.64
2019-03-08 09:15:00,72.04
2019-03-08 09:30:00,71.66
2019-03-08 09:45:00,71.75
2019-03-08 10:00:00,71.80
2019-03-08 10:15:00,72.00
2019-03-08 10:30:00,72.03
2019-03-08 10:45:00,72.42
2019-03-08 11:00:00,71.96
2019-03-08 11:15:00,72.48
2019-03-08 11:30:00,72.04
2019-03-08 11:45:00,72.14
2019-03-08 12:00:00,72.28
2019-03-08 12:15:00,72.36
2019-03-08 12:30:00,72.37
2019-03-08 12:45:00,72.48
2019-03-08 13:00:00,72.51
2019-03-08 13:15:00,72.60
2019-03-08 13:30:00,72.48
2019-03-08 13:45:00,72.30
2019-03-08 14:00:00,72.25
2019-03-08 14:15:00,72.32
2019-03-08 14:30:00,72.34
2019-03-08 14:45:00,72.16
2019-03-08 15:00:00,72.27
2019-03-12 16:30:00,74.39
2019-03-12 16:45:00,74.92
2019-03-12 17:00:00,74.95
2019-03-12 17:15:00,76.51
2019-03-12 17:30:00,80.08
2019-03-12 17:45:00,83.48
2019-03-12 18:00:00,84.38
2019-03-12 18:15:00,83.22
2019-03-12 18:30:00,80.94
2019-03-12 18:45:00,75.38
2019-03-12 19:00:00,74.28
2019-03-12 19:15:00,73.12
2019-03-12 19:30:00,72.30
2019-03-12 19:45:00,71.57
2019-03-12 20:00:00,71.08
2019-03-12 20:15:00,70.57
2019-03-12 20:30:00,70.16
2019-03-12 20:45:00,69.80
2019-03-12 21:00:00,69.46
2019-03-12 21:15:00,69.18
2019-03-12 21:30:00,68.88
2019-03-12 21:45:00,68.62
2019-03-12 22:00:00,68.18
